UNITID,SECTOR
488527,Private not-for-profit four-years
106713,Private not-for-profit four-years
106810,Private not-for-profit four-years
446233,Private not-for-profit four-years
107044,Private not-for-profit four-years
107080,Private not-for-profit four-years
107141,Private not-for-profit four-years
106342,Private not-for-profit four-years
107512,Private not-for-profit four-years
107600,Private not-for-profit four-years
107558,Private not-for-profit four-years
107877,Private not-for-profit four-years
106458,Public four-years
106467,Public four-years
107071,Public four-years
107983,Public four-years
106397,Public four-years
106245,Public four-years
106485,Public four-years
106412,Public four-years
106263,Public four-years
108092,Public four-years
106704,Public four-years
108807,Community Colleges
109208,Community Colleges
109350,Community Colleges
109819,Community Colleges
109907,Community Colleges
125170,Community Colleges
110246,Community Colleges
110334,Community Colleges
111434,Community Colleges
111887,Community Colleges
111896,Community Colleges
111920,Community Colleges
111939,Community Colleges
112172,Community Colleges
112190,Community Colleges
489201,Community Colleges
112385,Community Colleges
108667,Community Colleges
118347,Community Colleges
122791,Community Colleges
111461,Community Colleges
113573,Community Colleges
121707,Community Colleges
123217,Community Colleges
123484,Community Colleges
112561,Community Colleges
112826,Community Colleges
395362,Community Colleges
113096,Community Colleges
113111,Community Colleges
113193,Community Colleges
113218,Community Colleges
113236,Community Colleges
113333,Community Colleges
113634,Community Colleges
113856,Community Colleges
112686,Community Colleges
113980,Community Colleges
114266,Community Colleges
114433,Community Colleges
444219,Community Colleges
114716,Community Colleges
114789,Community Colleges
114859,Community Colleges
114938,Community Colleges
115001,Community Colleges
115126,Community Colleges
115296,Community Colleges
115393,Community Colleges
115861,Community Colleges
116439,Community Colleges
117195,Community Colleges
117247,Community Colleges
366401,Community Colleges
117274,Community Colleges
117645,Community Colleges
117788,Community Colleges
117690,Community Colleges
117867,Community Colleges
117706,Community Colleges
117715,Community Colleges
117724,Community Colleges
117733,Community Colleges
117894,Community Colleges
118684,Community Colleges
118718,Community Colleges
118772,Community Colleges
118912,Community Colleges
118930,Community Colleges
118976,Community Colleges
119067,Community Colleges
119137,Community Colleges
460394,Community Colleges
119164,Community Colleges
119216,Community Colleges
119331,Community Colleges
460464,Community Colleges
120290,Community Colleges
120342,Community Colleges
120421,Community Colleges
120953,Community Colleges
120971,Community Colleges
121044,Community Colleges
121363,Community Colleges
117052,Community Colleges
121886,Community Colleges
121901,Community Colleges
122180,Community Colleges
122205,Community Colleges
123527,Community Colleges
122339,Community Colleges
122375,Community Colleges
122384,Community Colleges
122658,Community Colleges
122746,Community Colleges
121619,Community Colleges
122889,Community Colleges
122977,Community Colleges
123013,Community Colleges
399212,Community Colleges
123299,Community Colleges
123341,Community Colleges
123509,Community Colleges
123563,Community Colleges
123800,Community Colleges
124113,Community Colleges
125028,Community Colleges
125091,Community Colleges
125462,Community Colleges
448594,Community Colleges
125471,Community Colleges
125499,Community Colleges
455512,Community Colleges
126119,Community Colleges
108852,Other private not-for-profits
475705,Other private not-for-profits
111638,Other private not-for-profits
439367,Other private not-for-profits
444510,Other private not-for-profits
381255,Other private not-for-profits
111744,Other private not-for-profits
111726,Other private not-for-profits
381282,Other private not-for-profits
430342,Other private not-for-profits
111799,Other private not-for-profits
111708,Other private not-for-profits
111717,Other private not-for-profits
381325,Other private not-for-profits
468769,Other private not-for-profits
111762,Other private not-for-profits
446163,Other private not-for-profits
114947,Other private not-for-profits
459143,Other private not-for-profits
368771,Other private not-for-profits
368780,Other private not-for-profits
381945,Other private not-for-profits
443207,Other private not-for-profits
476470,Other private not-for-profits
417105,"Other public two-years, less-than-two-years"
490212,"Other public two-years, less-than-two-years"
449357,"Other public two-years, less-than-two-years"
487773,"Other public two-years, less-than-two-years"
123493,"Other public two-years, less-than-two-years"
112367,"Other public two-years, less-than-two-years"
395195,"Other public two-years, less-than-two-years"
371690,"Other public two-years, less-than-two-years"
413802,"Other public two-years, less-than-two-years"
383084,"Other public two-years, less-than-two-years"
117803,"Other public two-years, less-than-two-years"
382258,"Other public two-years, less-than-two-years"
372082,"Other public two-years, less-than-two-years"
481191,"Other public two-years, less-than-two-years"
484233,"Other public two-years, less-than-two-years"
481182,"Other public two-years, less-than-two-years"
417123,"Other public two-years, less-than-two-years"
485500,Private for-profits
488031,Private for-profits
461980,Private for-profits
462062,Private for-profits
108232,Private for-profits
454722,Private for-profits
262369,Private for-profits
400187,Private for-profits
479974,Private for-profits
480019,Private for-profits
444343,Private for-profits
491163,Private for-profits
481234,Private for-profits
444361,Private for-profits
393524,Private for-profits
487995,Private for-profits
110468,Private for-profits
108977,Private for-profits
441052,Private for-profits
481854,Private for-profits
109040,Private for-profits
439905,Private for-profits
447768,Private for-profits
422835,Private for-profits
483009,Private for-profits
447795,Private for-profits
461263,Private for-profits
433004,Private for-profits
457299,Private for-profits
457314,Private for-profits
450526,Private for-profits
447272,Private for-profits
436438,Private for-profits
450544,Private for-profits
121983,Private for-profits
410502,Private for-profits
448576,Private for-profits
432533,Private for-profits
441973,Private for-profits
450094,Private for-profits
117113,Private for-profits
117928,Private for-profits
451848,Private for-profits
447777,Private for-profits
154022,Private for-profits
393861,Private for-profits
485494,Private for-profits
109721,Private for-profits
109730,Private for-profits
444325,Private for-profits
108649,Private for-profits
469957,Private for-profits
486558,Private for-profits
483878,Private for-profits
116563,Private for-profits
109934,Private for-profits
377722,Private for-profits
475635,Private for-profits
457253,Private for-profits
447810,Private for-profits
454759,Private for-profits
479992,Private for-profits
447102,Private for-profits
458186,Private for-profits
447120,Private for-profits
118967,Private for-profits
366960,Private for-profits
447634,Private for-profits
432302,Private for-profits
118259,Private for-profits
118277,Private for-profits
118286,Private for-profits
110194,Private for-profits
486497,Private for-profits
110875,Private for-profits
447713,Private for-profits
481386,Private for-profits
262402,Private for-profits
111054,Private for-profits
442985,Private for-profits
488572,Private for-profits
490285,Private for-profits
485546,Private for-profits
480781,Private for-profits
455734,Private for-profits
483443,Private for-profits
460659,Private for-profits
446093,Private for-profits
377759,Private for-profits
111513,Private for-profits
446118,Private for-profits
454801,Private for-profits
433013,Private for-profits
450702,Private for-profits
438258,Private for-profits
467368,Private for-profits
125532,Private for-profits
437936,Private for-profits
246974,Private for-profits
450696,Private for-profits
419183,Private for-profits
378105,Private for-profits
489353,Private for-profits
422190,Private for-profits
461829,Private for-profits
112181,Private for-profits
449393,Private for-profits
485412,Private for-profits
450988,Private for-profits
112455,Private for-profits
112394,Private for-profits
420608,Private for-profits
444529,Private for-profits
123679,Private for-profits
124937,Private for-profits
124706,Private for-profits
120661,Private for-profits
459189,Private for-profits
