State (long),State (short),TTRPC: 2016,TTRPC: 2017,TTRPC: 2018,Average TTRPC (2016-18),Index of TTRPC,Child poverty rate: 2015 to 2019,Index of child poverty rate,Number of public undergrads (IPEDS Guest_76267973773),Number of public undergrads receiving Pell (IPEDS Guest_76267973773),Share of public undergrads receiving Pell,Index of Pell share,Share of K-12 students eligible for FRPL,Index of FRPL eligible share,"Personal income per capita, 2017","Personal income per capita, 2018","Personal income per capita, 2019",Average personal income per capita (2017-19),Index of personal income ,"White residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Black residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Hispanic residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","AAPI residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Native American / Alaska Native residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Two or more races / Other race residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Total residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Two-Year Education Appropriations (FY 2020, SHEEO, SHEF report)"
LongState,STABBR2,IGNORE1,IGNORE2,IGNORE3,IGNORE4,TTRPCindex,IGNORE5,CPRindex,IGNORE6,IGNORE7,IGNORE8,PELLindex,IGNORE9,FRPLindex,IGNORE10,IGNORE11,IGNORE12,IGNORE13,PIPCindex,RESwhite,RESblack,REShispanic,RESaapi,RESnative,REStwo,RESall,TwoYearEdApprops
Massachusetts,MA,"85,480","90,445","95,001","90,309",1.338699476,0.132,0.7135135135,181739,66089,0.3636,1.118008498,0.399,0.7638066153,68405,71768,74161,71445,1.313715515,589604,96387,202607,60088,1899,37025,987610,425836373
Michigan,MI,"54,980","56,779","59,597","57,119",0.8467042198,0.199,1.075675676,403055,126303,0.3134,0.9634150163,0.500,0.9567745987,45931,47762,49238,47644,0.8760657305,1086259,309849,120251,41759,9042,54065,1621225,956801506
Minnesota,MN,"67,118","69,675","72,677","69,823",1.035033106,0.122,0.6594594595,221081,62287,0.2817,0.8661837893,0.364,0.6955587393,54930,57346,58830,57035,1.048758512,524915,77595,69556,48210,12728,30875,763879,479327941
Mississippi,MS,"40,749","41,977","44,111","42,279",0.6267269493,0.287,1.551351351,136728,59162,0.4327,1.330299549,0.740,1.41611901,36510,37828,38887,37742,0.6939890041,248520,241994,22779,4633,3415,5831,527172,310806180
Missouri,MO,"55,205","56,661","59,421","57,096",0.846363277,0.187,1.010810811,207357,65375,0.3153,0.9692974248,0.502,0.961047102,45307,47076,48631,47005,0.8643158792,715890,155178,59616,17987,4270,28758,981699,371545803
Montana,MT,"50,459","53,124","56,234","53,272",0.7896877162,0.158,0.8540540541,40351,12133,0.3007,0.9244383495,0.390,0.7463113534,46138,48141,49684,47988,0.8823911591,134641,1400,9361,2137,14486,5927,167952,37641712
Nebraska,NE,"66,493","69,053","71,199","68,915",1.021568337,0.139,0.7513513514,85654,23843,0.2784,0.8558099031,0.452,0.8644082662,50617,52893,54567,52692,0.9688999761,202864,21502,49747,8718,3553,8638,295022,288841486
Nevada,NV,"60,507","62,697","66,910","63,371",0.9393912442,0.182,0.9837837838,98949,29488,0.2980,0.9162161999,0.613,1.172126097,47615,49944,50985,49515,0.9104694424,200889,59437,219722,39223,5792,23020,548083,39109377
New Hampshire,NH,"71,934","75,192","78,714","75,280",1.115920546,0.092,0.4972972973,34967,9628,0.2753,0.8465288548,0.270,0.5161541993,58689,61399,63452,61180,1.12497012,167268,4222,12359,4649,234,5575,194307,60434827
New Jersey,NJ,"79,973","83,069","87,051","83,364",1.235759462,0.14,0.7567567568,291145,106375,0.3654,1.123296214,0.376,0.7197960866,64964,67801,70399,67721,1.245251332,496452,216591,372097,66524,1415,30227,1183306,446265034
New Mexico,NM,"47,319","49,550","52,809","49,893",0.7395888922,0.267,1.443243243,107761,38464,0.3569,1.097379622,0.723,1.383364075,39727,41650,43268,41548,0.7639855104,95012,9770,220898,3999,45073,6799,381551,381695599
New York,NY,"87,061","92,402","96,721","92,061",1.364680304,0.196,1.059459459,626707,266550,0.4253,1.307609898,0.539,1.030525455,65799,68609,71682,68697,1.263185638,1237893,534649,783421,197942,8892,82421,2845218,1981288103
North Carolina,NC,"55,158","57,174","59,658","57,330",0.8498369404,0.212,1.145945946,409561,151531,0.3700,1.137488337,0.560,1.071727395,44376,46172,47706,46085,0.8473990352,884464,446126,228314,36904,22634,50997,1669439,1331229944
North Dakota,ND,"71,924","74,573","79,538","75,345",1.116884079,0.114,0.6162162162,40348,8320,0.2062,0.6339651316,0.303,0.5796593119,52610,55643,57108,55120,1.013545734,98368,7010,9514,3864,8839,3827,131422,52681777
Ohio,OH,"58,039","60,447","63,718","60,735",0.9003063544,0.199,1.075675676,443345,131311,0.2962,0.9105909964,0.453,0.8669173475,46804,48728,50167,48566,0.8930316088,1357133,309752,103394,37450,3316,66360,1877405,655092815
Oklahoma,OK,"50,180","53,134","56,980","53,431",0.7920446684,0.215,1.162162162,181186,56412,0.3113,0.957218135,0.603,1.15294745,43769,45806,47297,45624,0.8389283547,412920,65193,109774,17390,62464,61716,729457,211413087
Oregon,OR,"58,105","61,121","64,289","61,172",0.9067842672,0.166,0.8972972973,173377,54498,0.3143,0.9663915828,0.489,0.9363081164,48719,51479,53212,51137,0.9402945737,442087,16340,136078,30155,8249,31430,664339,634527954
Pennsylvania,PA,"64,129","66,401","70,140","66,890",0.9915505485,0.176,0.9513513514,346694,112472,0.3244,0.9973834333,0.509,0.9736145007,53277,55996,58046,55773,1.025546886,1283766,298566,229756,59910,2048,52361,1926407,429993660
Rhode Island,RI,"65,063","67,486","70,027","67,525",1.000968475,0.17,0.9189189189,35739,12902,0.3610,1.109886833,0.474,0.9068446127,52600,54377,56426,54468,1.001544581,105911,14288,43485,6457,777,6590,177508,55095541
South Carolina,SC,"48,739","50,949","53,055","50,914",0.7547336693,0.222,1.2,176401,60797,0.3447,1.059607845,0.620,1.185391337,42178,43847,45359,43795,0.8052908042,454789,288542,68719,11449,2714,21328,847541,398253523
South Dakota,SD,"63,628","64,802","68,289","65,573",0.9720278684,0.173,0.9351351351,38841,10451,0.2691,0.8272399563,0.369,0.7061023141,49738,52592,53812,52047,0.9570397975,96873,4890,8506,2922,18520,4850,136561,31812320
Tennessee,TN,"54,367","56,057","58,838","56,421",0.8363573476,0.219,1.183783784,224058,85186,0.3802,1.168885117,0.588,1.125158191,45193,47165,48676,47011,0.864438465,746951,246764,89701,16808,2769,25611,1128604,578170227
Texas,TX,"59,791","64,364","68,485","64,213",0.9518727147,0.209,1.12972973,1316250,429299,0.3262,1.002733561,0.606,1.158666063,48402,51144,52829,50792,0.9339507573,1631360,714950,2609121,151005,13017,92380,5211833,3324191993
Utah,UT,"56,110","58,976","61,946","59,011",0.8747504694,0.109,0.5891891892,190775,48515,0.2543,0.7818413425,0.329,0.6302614696,44142,46984,48978,46701,0.8587382241,409707,9204,107907,19172,7852,16322,570164,244399392
Vermont,VT,"59,166","60,981","63,420","61,189",0.9070412096,0.13,0.7027027027,22521,5597,0.2485,0.7640674423,0.364,0.6963870426,51632,53493,55288,53471,0.9832180005,87515,2109,3527,2806,425,1951,98333,8412175
Virginia,VA,"67,388","69,924","73,247","70,186",1.040414073,0.139,0.7513513514,339182,91809,0.2707,0.8321785519,0.444,0.8502108614,55582,57898,59509,57663,1.060299968,699266,317633,179987,56064,3251,51149,1307350,488052924
Washington,WA,"76,126","80,222","85,419","80,589",1.194619034,0.136,0.7351351351,293684,72502,0.2469,0.7589859881,0.430,0.8225746464,58400,62185,64766,61784,1.136070266,697432,58332,232292,88399,18286,70920,1165661,962585268
West Virginia,WV,"44,212","46,769","49,845","46,942",0.6958493922,0.238,1.286486486,71540,24144,0.3375,1.037586577,0.504,0.964615038,38891,41154,42242,40762,0.7495326415,265855,15406,6124,1737,446,5757,295325,78511737
Wisconsin,WI,"60,706","62,729","65,759","63,065",0.9348453404,0.149,0.8054054054,251752,65133,0.2587,0.7954121318,0.395,0.7556036013,49239,51611,53207,51352,0.9442602252,629763,89599,93001,32718,9920,21247,876248,791722373
Wyoming,WY,"71,001","78,026","81,444","76,824",1.138803241,0.126,0.6810810811,30019,6129,0.2042,0.6277077035,0.364,0.6972574194,56421,60537,62044,59667,1.097155396,77977,1245,14077,658,3063,2601,99621,174344676
United States,US,"64,075","67,388","70,917","67,460",1,0.185,1,13206474,4295590,0.3253,1,0.523,1,52096,54581,56474,54384,1,,,,,,,,
